MSSV,HoTen,Khoa,KhoaHoc,GPA_TichLuy,TinChiTichLuy,XepLoai
SV20210619,Đỗ Khánh Long,Công nghệ thông tin,K64,1.8,49,Cần cải thiện
SV20210620,Phạm Hân Ngọc,Công nghệ thông tin,K65,1.9,46,Cần cải thiện
SV20210621,Nguyễn Long Long,Kinh tế số,K66,2.8,63,Khá tích cực
SV20210622,Đặng Hải Phúc,Kinh tế số,K64,2.0,49,Cần cải thiện
SV20210623,Hoàng Linh Long,Công nghệ thông tin,K65,3.1,101,Khá tích cực
SV20210624,Hồ Ngọc Ngọc,Công nghệ thông tin,K66,2.8,74,Khá tích cực
SV20210625,Lê Vy Hương,Kinh tế số,K64,3.2,87,Khá
SV20210626,Nguyễn Hương Ngọc,Công nghệ thông tin,K65,2.6,61,Khá tích cực
SV20210627,Đỗ Dũng Hà,Kinh tế số,K66,2.2,49,Cần cải thiện
SV20210628,Nguyễn An Linh,Kỹ thuật dữ liệu,K64,3.5,113,Khá
SV20210629,Hồ Hân Giang,Kỹ thuật dữ liệu,K65,2.0,46,Cần cải thiện
SV20210630,Nguyễn Trang My,Công nghệ thông tin,K66,2.4,52,Cần cải thiện
SV20210631,Nguyễn Chi Phúc,Kỹ thuật dữ liệu,K64,2.1,73,Cần cải thiện
SV20210632,Hoàng Lan Hà,Công nghệ thông tin,K65,3.4,124,Khá
SV20210633,Hoàng Chi Hải,Kinh tế số,K66,4.0,118,Xuất sắc
SV20210634,Đặng Bình Hân,Kinh tế số,K64,3.4,111,Khá
SV20210635,Đặng Long Long,Kinh tế số,K65,2.8,74,Khá tích cực
SV20210636,Phạm Trang Hân,Công nghệ thông tin,K66,3.0,98,Khá tích cực
SV20210637,Trần Long Giang,Kinh tế số,K64,2.4,86,Cần cải thiện
SV20210638,Lê Hà Chi,Kinh tế số,K65,2.4,59,Cần cải thiện
SV20210639,Trần Nam Khánh,Kinh tế số,K66,2.9,78,Khá tích cực
SV20210640,Vũ Quân Linh,Kỹ thuật dữ liệu,K64,1.2,28,Cần cải thiện
SV20210641,Lê Minh Giang,Công nghệ thông tin,K65,3.0,98,Khá tích cực
SV20210642,Hoàng Phúc My,Công nghệ thông tin,K66,2.7,77,Khá tích cực
SV20210643,Đặng Phúc Minh,Công nghệ thông tin,K64,3.0,86,Khá tích cực
SV20210644,Trần Trang Nam,Kinh tế số,K65,2.3,58,Cần cải thiện
SV20210645,Trần Minh My,Kỹ thuật dữ liệu,K66,3.3,117,Khá
SV20210646,Đỗ Linh Ngọc,Kinh tế số,K64,2.8,83,Khá tích cực
SV20210647,Nguyễn Hà Giang,Công nghệ thông tin,K65,2.1,85,Cần cải thiện
SV20210648,Bùi Phúc Khánh,Kinh tế số,K66,2.7,90,Khá tích cực
SV20210649,Đỗ Dũng Ngọc,Công nghệ thông tin,K64,3.3,97,Khá
SV20210650,Đặng Long My,Công nghệ thông tin,K65,2.9,98,Khá tích cực
SV20210651,Bùi Ngọc Lan,Kinh tế số,K66,2.9,75,Khá tích cực
SV20210652,Hoàng Nam Long,Công nghệ thông tin,K64,3.1,98,Khá tích cực
SV20210653,Hồ Trang Trang,Công nghệ thông tin,K65,1.7,45,Cần cải thiện
SV20210654,Vũ Bình Lan,Kỹ thuật dữ liệu,K66,2.7,66,Khá tích cực
SV20210655,Vũ Giang Hương,Kỹ thuật dữ liệu,K64,2.4,48,Cần cải thiện
SV20210656,Nguyễn Phúc An,Kỹ thuật dữ liệu,K65,2.9,94,Khá tích cực
SV20210657,Trần Ngọc Khánh,Công nghệ thông tin,K66,3.3,87,Khá
SV20210658,Bùi Trang Long,Kỹ thuật dữ liệu,K64,3.6,129,Xuất sắc
SV20210659,Đỗ Chi Ngọc,Công nghệ thông tin,K65,1.6,41,Cần cải thiện
SV20210660,Hoàng My Hân,Công nghệ thông tin,K66,1.9,40,Cần cải thiện
SV20210661,Hoàng My Phúc,Công nghệ thông tin,K64,4.0,132,Xuất sắc
SV20210662,Hồ Khánh Hương,Công nghệ thông tin,K65,2.7,93,Khá tích cực
SV20210663,Hoàng Bình Nam,Công nghệ thông tin,K66,3.1,92,Khá tích cực
SV20210664,Nguyễn Quân Phúc,Công nghệ thông tin,K64,2.5,53,Khá tích cực
SV20210665,Đặng Chi Quân,Kỹ thuật dữ liệu,K65,1.9,37,Cần cải thiện
SV20210666,Phạm Vy Hải,Công nghệ thông tin,K66,2.9,68,Khá tích cực
SV20210667,Nguyễn Trang Giang,Công nghệ thông tin,K64,2.7,93,Khá tích cực
SV20210668,Lê Nam Trang,Công nghệ thông tin,K65,3.4,129,Khá
SV20210669,Phạm Giang Linh,Công nghệ thông tin,K66,2.3,59,Cần cải thiện
SV20210670,Hoàng Lan Long,Kỹ thuật dữ liệu,K64,3.7,111,Xuất sắc
SV20210671,Hồ Hương Chi,Công nghệ thông tin,K65,2.8,76,Khá tích cực
SV20210672,Đặng Quân Linh,Kinh tế số,K66,2.7,49,Khá tích cực
SV20210673,Vũ Dũng Lan,Kỹ thuật dữ liệu,K64,2.8,75,Khá tích cực
SV20210674,Hoàng Giang Hân,Công nghệ thông tin,K65,3.0,56,Khá tích cực
SV20210675,Vũ Lan Minh,Công nghệ thông tin,K66,3.3,81,Khá
SV20210676,Đặng Ngọc Bình,Kinh tế số,K64,2.3,66,Cần cải thiện
SV20210677,Đặng Phúc My,Kinh tế số,K65,2.2,59,Cần cải thiện
SV20210678,Nguyễn Chi Linh,Kỹ thuật dữ liệu,K66,2.7,73,Khá tích cực
SV20210679,Vũ An Trang,Kinh tế số,K64,3.5,69,Khá
SV20210680,Hoàng Khánh Long,Công nghệ thông tin,K65,3.3,86,Khá
SV20210681,Lê Phúc Vy,Công nghệ thông tin,K66,3.1,70,Khá tích cực
SV20210682,Nguyễn Vy Bình,Công nghệ thông tin,K64,2.1,77,Cần cải thiện
SV20210683,Nguyễn An Hương,Kỹ thuật dữ liệu,K65,3.1,92,Khá tích cực
SV20210684,Hồ Ngọc Dũng,Công nghệ thông tin,K66,2.9,99,Khá tích cực
SV20210685,Đỗ Giang Ngọc,Công nghệ thông tin,K64,3.3,111,Khá
SV20210686,Bùi Minh Dũng,Kinh tế số,K65,2.7,83,Khá tích cực
SV20210687,Lê Hân Hân,Công nghệ thông tin,K66,2.8,83,Khá tích cực
SV20210688,Đặng Khánh Long,Kỹ thuật dữ liệu,K64,3.1,77,Khá tích cực
SV20210689,Nguyễn Hà Vy,Công nghệ thông tin,K65,3.6,99,Xuất sắc
SV20210690,Bùi Khánh Ngọc,Kỹ thuật dữ liệu,K66,3.0,77,Khá tích cực
SV20210691,Phạm Dũng Khánh,Công nghệ thông tin,K64,3.7,109,Xuất sắc
SV20210692,Vũ Dũng Dũng,Công nghệ thông tin,K65,1.7,47,Cần cải thiện
SV20210693,Hồ Chi Ngọc,Kinh tế số,K66,2.2,86,Cần cải thiện
SV20210694,Hồ Vy Bình,Công nghệ thông tin,K64,3.1,77,Khá tích cực
SV20210695,Phạm Hải Hân,Công nghệ thông tin,K65,3.0,87,Khá tích cực
SV20210696,Hoàng Hân Lan,Kỹ thuật dữ liệu,K66,2.7,72,Khá tích cực
SV20210697,Phạm Minh Phúc,Công nghệ thông tin,K64,2.8,87,Khá tích cực
SV20210698,Hồ Hương Ngọc,Kỹ thuật dữ liệu,K65,3.8,126,Xuất sắc
SV20210699,Hồ Quân Hương,Kinh tế số,K66,2.9,90,Khá tích cực
SV20210700,Hoàng Giang Phúc,Kinh tế số,K64,3.0,100,Khá tích cực
SV20210701,Hoàng Chi Hà,Công nghệ thông tin,K65,2.5,76,Khá tích cực
SV20210702,Lê Hân Hải,Kỹ thuật dữ liệu,K66,2.0,69,Cần cải thiện
SV20210703,Phạm An An,Công nghệ thông tin,K64,3.0,101,Khá tích cực
SV20210704,Trần Minh Bình,Công nghệ thông tin,K65,2.5,53,Khá tích cực
SV20210705,Hoàng Phúc Trang,Công nghệ thông tin,K66,3.1,74,Khá tích cực
SV20210706,Hồ Hân Giang,Kinh tế số,K64,2.0,38,Cần cải thiện
SV20210707,Đỗ Minh Linh,Công nghệ thông tin,K65,3.6,123,Xuất sắc
SV20210708,Hoàng Dũng Hương,Kinh tế số,K66,2.3,92,Cần cải thiện
SV20210709,Hoàng Giang Minh,Công nghệ thông tin,K64,3.2,93,Khá
SV20210710,Hồ Dũng Linh,Kinh tế số,K65,3.0,60,Khá tích cực
SV20210711,Đỗ Trang Quân,Công nghệ thông tin,K66,1.3,33,Cần cải thiện
SV20210712,Phạm Nam Hà,Kinh tế số,K64,2.4,56,Cần cải thiện
SV20210713,Lê Chi Vy,Công nghệ thông tin,K65,3.1,91,Khá tích cực
SV20210714,Đặng Hương Linh,Công nghệ thông tin,K66,2.9,40,Khá tích cực
SV20210715,Vũ Ngọc Chi,Kinh tế số,K64,2.3,85,Cần cải thiện
SV20210716,Trần Linh Trang,Kinh tế số,K65,2.6,62,Khá tích cực
SV20210717,Hồ Linh Lan,Công nghệ thông tin,K66,2.8,93,Khá tích cực
SV20210718,Vũ My Khánh,Công nghệ thông tin,K64,2.7,61,Khá tích cực
SV20210719,Trần Giang Linh,Kinh tế số,K65,2.7,68,Khá tích cực
SV20210720,Đỗ Vy Hải,Công nghệ thông tin,K66,1.9,62,Cần cải thiện
SV20210721,Hồ My Giang,Công nghệ thông tin,K64,2.0,51,Cần cải thiện
SV20210722,Phạm Long Lan,Kỹ thuật dữ liệu,K65,3.2,73,Khá
SV20210723,Phạm An Lan,Kỹ thuật dữ liệu,K66,2.4,59,Cần cải thiện
SV20210724,Hoàng My Bình,Công nghệ thông tin,K64,1.8,55,Cần cải thiện
SV20210725,Đỗ Bình Dũng,Công nghệ thông tin,K65,3.0,118,Khá tích cực
SV20210726,Đỗ Bình An,Kinh tế số,K66,2.4,67,Cần cải thiện
SV20210727,Trần Phúc Phúc,Công nghệ thông tin,K64,3.3,116,Khá
SV20210728,Đặng An Hân,Công nghệ thông tin,K65,2.5,53,Khá tích cực
SV20210729,Nguyễn My Trang,Công nghệ thông tin,K66,2.4,59,Cần cải thiện
SV20210730,Bùi Long Khánh,Công nghệ thông tin,K64,2.6,68,Khá tích cực
SV20210731,Đặng Linh Vy,Công nghệ thông tin,K65,3.6,124,Xuất sắc
SV20210732,Hoàng Lan Quân,Kỹ thuật dữ liệu,K66,3.3,105,Khá
SV20210733,Lê Ngọc Lan,Kỹ thuật dữ liệu,K64,3.1,122,Khá tích cực
SV20210734,Lê Khánh Long,Kỹ thuật dữ liệu,K65,2.7,74,Khá tích cực
SV20210735,Hồ Hà Ngọc,Công nghệ thông tin,K66,3.4,132,Khá
SV20210736,Phạm Khánh Minh,Kỹ thuật dữ liệu,K64,3.0,86,Khá tích cực
SV20210737,Nguyễn Giang Ngọc,Công nghệ thông tin,K65,1.9,48,Cần cải thiện
SV20210738,Lê My Lan,Công nghệ thông tin,K66,2.7,79,Khá tích cực
SV20210739,Lê Bình Hải,Kỹ thuật dữ liệu,K64,3.2,80,Khá
SV20210740,Lê Nam Dũng,Kinh tế số,K65,2.8,81,Khá tích cực
SV20210741,Bùi Trang Linh,Kinh tế số,K66,3.0,99,Khá tích cực
SV20210742,Bùi Bình Hà,Công nghệ thông tin,K64,2.5,54,Khá tích cực
SV20210743,Bùi Hân Vy,Kỹ thuật dữ liệu,K65,4.0,132,Xuất sắc
SV20210744,Vũ An Hà,Công nghệ thông tin,K66,2.9,56,Khá tích cực
SV20210745,Hoàng Nam Hương,Kỹ thuật dữ liệu,K64,2.5,72,Khá tích cực
SV20210746,Nguyễn Vy An,Công nghệ thông tin,K65,2.4,70,Cần cải thiện
SV20210747,Nguyễn Bình Minh,Công nghệ thông tin,K66,2.1,53,Cần cải thiện
SV20210748,Phạm Vy Hân,Công nghệ thông tin,K64,3.1,76,Khá tích cực
SV20210749,Bùi Dũng Khánh,Kinh tế số,K65,2.1,81,Cần cải thiện
SV20210750,Hoàng Minh Ngọc,Công nghệ thông tin,K66,3.2,86,Khá
SV20210751,Đỗ Minh Hương,Công nghệ thông tin,K64,2.9,86,Khá tích cực
SV20210752,Hoàng Minh Hải,Kinh tế số,K65,2.7,56,Khá tích cực
SV20210753,Trần Quân An,Công nghệ thông tin,K66,2.2,39,Cần cải thiện
SV20210754,Hoàng Quân Khánh,Kinh tế số,K64,3.0,118,Khá tích cực
SV20210755,Phạm Hải Phúc,Công nghệ thông tin,K65,2.6,79,Khá tích cực
SV20210756,Hoàng An An,Kinh tế số,K66,2.9,78,Khá tích cực
SV20210757,Phạm Chi Hải,Công nghệ thông tin,K64,2.9,107,Khá tích cực
SV20210758,Vũ Trang Hương,Kinh tế số,K65,2.8,89,Khá tích cực
SV20210759,Hoàng Khánh Hương,Công nghệ thông tin,K66,3.1,90,Khá tích cực
SV20210760,Đỗ Bình Linh,Công nghệ thông tin,K64,3.8,132,Xuất sắc
SV20210761,Phạm Hân Vy,Kỹ thuật dữ liệu,K65,2.6,75,Khá tích cực
SV20210762,Lê Hương Hân,Công nghệ thông tin,K66,2.8,77,Khá tích cực
SV20210763,Đặng Quân Vy,Công nghệ thông tin,K64,2.7,76,Khá tích cực
SV20210764,Hoàng Lan Lan,Kỹ thuật dữ liệu,K65,2.3,53,Cần cải thiện
SV20210765,Hồ Khánh Ngọc,Công nghệ thông tin,K66,1.9,88,Cần cải thiện
SV20210766,Hồ Long Hà,Công nghệ thông tin,K64,1.9,69,Cần cải thiện
SV20210767,Bùi Phúc Quân,Công nghệ thông tin,K65,2.6,94,Khá tích cực
SV20210768,Đặng Minh Khánh,Kinh tế số,K66,2.3,82,Cần cải thiện
SV20210769,Phạm Giang An,Công nghệ thông tin,K64,2.5,89,Khá tích cực
SV20210770,Hoàng Chi Hương,Công nghệ thông tin,K65,3.4,118,Khá
SV20210771,Đỗ Trang Trang,Kinh tế số,K66,3.2,108,Khá
SV20210772,Hồ Chi Hương,Kinh tế số,K64,2.3,71,Cần cải thiện
SV20210773,Trần Phúc Hân,Công nghệ thông tin,K65,2.9,56,Khá tích cực
SV20210774,Lê Vy My,Công nghệ thông tin,K66,2.5,61,Khá tích cực
SV20210775,Đặng Dũng Giang,Công nghệ thông tin,K64,3.2,99,Khá
SV20210776,Lê Hân My,Công nghệ thông tin,K65,2.3,39,Cần cải thiện
SV20210777,Hồ Vy Hương,Công nghệ thông tin,K66,2.8,86,Khá tích cực
SV20210778,Hoàng Lan Hân,Công nghệ thông tin,K64,1.9,61,Cần cải thiện
SV20210779,Đỗ Minh Giang,Công nghệ thông tin,K65,2.6,88,Khá tích cực
SV20210780,Phạm Hương Dũng,Kỹ thuật dữ liệu,K66,2.2,77,Cần cải thiện
SV20210781,Lê Dũng My,Công nghệ thông tin,K64,3.7,117,Xuất sắc
SV20210782,Phạm Quân Hân,Công nghệ thông tin,K65,2.7,93,Khá tích cực
SV20210783,Hồ Minh Trang,Kinh tế số,K66,2.5,67,Khá tích cực
SV20210784,Trần Khánh Bình,Công nghệ thông tin,K64,2.5,48,Khá tích cực
SV20210785,Phạm Bình Quân,Kinh tế số,K65,2.5,77,Khá tích cực
SV20210786,Hồ Giang Ngọc,Công nghệ thông tin,K66,3.6,112,Xuất sắc
SV20210787,Trần Linh Hân,Công nghệ thông tin,K64,2.9,85,Khá tích cực
SV20210788,Đặng Phúc Long,Công nghệ thông tin,K65,3.1,86,Khá tích cực
SV20210789,Đặng Chi Hân,Kỹ thuật dữ liệu,K66,2.8,92,Khá tích cực
SV20210790,Hồ Hương Phúc,Kỹ thuật dữ liệu,K64,3.2,77,Khá
SV20210791,Vũ Linh Ngọc,Kỹ thuật dữ liệu,K65,2.4,83,Cần cải thiện
SV20210792,Hồ Dũng Hà,Công nghệ thông tin,K66,2.4,94,Cần cải thiện
SV20210793,Trần Chi Hân,Kinh tế số,K64,2.6,96,Khá tích cực
SV20210794,Nguyễn Hải Ngọc,Công nghệ thông tin,K65,2.2,67,Cần cải thiện
SV20210795,Lê Ngọc My,Kinh tế số,K66,2.6,42,Khá tích cực
SV20210796,Bùi An Ngọc,Công nghệ thông tin,K64,3.4,94,Khá
SV20210797,Bùi Vy Phúc,Kinh tế số,K65,2.6,74,Khá tích cực
SV20210798,Đỗ Ngọc Long,Kỹ thuật dữ liệu,K66,3.3,91,Khá
SV20210799,Trần My Phúc,Kinh tế số,K64,2.2,75,Cần cải thiện
SV20210800,Bùi Hân Bình,Kỹ thuật dữ liệu,K65,3.0,71,Khá tích cực
SV20210801,Đỗ Quân Chi,Công nghệ thông tin,K66,1.8,28,Cần cải thiện
SV20210802,Trần Bình Giang,Công nghệ thông tin,K64,3.5,116,Khá
SV20210803,Phạm Hải Hải,Công nghệ thông tin,K65,2.2,85,Cần cải thiện
SV20210804,Hồ Bình Long,Công nghệ thông tin,K66,2.4,67,Cần cải thiện
SV20210805,Hoàng An Hải,Công nghệ thông tin,K64,3.2,88,Khá
SV20210806,Vũ Hải Lan,Công nghệ thông tin,K65,2.2,61,Cần cải thiện
SV20210807,Trần Ngọc Phúc,Kinh tế số,K66,2.2,41,Cần cải thiện
SV20210808,Nguyễn Chi An,Công nghệ thông tin,K64,2.9,88,Khá tích cực
SV20210809,Phạm Long My,Kinh tế số,K65,3.3,79,Khá
SV20210810,Hồ Dũng Giang,Kỹ thuật dữ liệu,K66,2.8,72,Khá tích cực
SV20210811,Bùi Minh Ngọc,Kỹ thuật dữ liệu,K64,2.6,101,Khá tích cực
SV20210812,Phạm Giang Long,Công nghệ thông tin,K65,2.9,92,Khá tích cực
SV20210813,Vũ Quân Khánh,Công nghệ thông tin,K66,2.5,70,Khá tích cực
SV20210814,Lê Vy Vy,Công nghệ thông tin,K64,2.9,86,Khá tích cực
SV20210815,Trần Hân Hương,Công nghệ thông tin,K65,2.2,56,Cần cải thiện
SV20210816,Trần Bình Hương,Công nghệ thông tin,K66,3.3,109,Khá
SV20210817,Đỗ Phúc Quân,Kinh tế số,K64,3.0,103,Khá tích cực
SV20210818,Đỗ Hương Bình,Kỹ thuật dữ liệu,K65,2.3,95,Cần cải thiện
SV20210819,Đặng Dũng Long,Công nghệ thông tin,K66,2.8,97,Khá tích cực
SV20210820,Đặng Quân Hà,Công nghệ thông tin,K64,2.6,75,Khá tích cực
SV20210821,Lê Vy My,Kỹ thuật dữ liệu,K65,2.1,54,Cần cải thiện
SV20210822,Lê Giang An,Kinh tế số,K66,2.8,75,Khá tích cực
SV20210823,Phạm Nam An,Kinh tế số,K64,2.0,66,Cần cải thiện
SV20210824,Lê Khánh Quân,Công nghệ thông tin,K65,2.4,60,Cần cải thiện
SV20210825,Hoàng An Hân,Công nghệ thông tin,K66,2.7,81,Khá tích cực
SV20210826,Trần Ngọc Vy,Kỹ thuật dữ liệu,K64,2.9,94,Khá tích cực
SV20210827,Nguyễn Vy Khánh,Công nghệ thông tin,K65,2.9,93,Khá tích cực
SV20210828,Bùi Giang Phúc,Công nghệ thông tin,K66,3.3,80,Khá
SV20210829,Phạm Nam Minh,Kinh tế số,K64,3.8,123,Xuất sắc
SV20210830,Vũ Hương Hải,Kỹ thuật dữ liệu,K65,3.1,120,Khá tích cực
SV20210831,Phạm Vy Khánh,Kinh tế số,K66,2.6,74,Khá tích cực
SV20210832,Trần Lan Nam,Công nghệ thông tin,K64,2.5,81,Khá tích cực
SV20210833,Vũ Dũng Vy,Kinh tế số,K65,2.9,81,Khá tích cực
SV20210834,Lê Dũng Minh,Kinh tế số,K66,2.6,67,Khá tích cực
SV20210835,Vũ Linh Quân,Kinh tế số,K64,2.3,69,Cần cải thiện
SV20210836,Hoàng Giang Ngọc,Kỹ thuật dữ liệu,K65,2.9,72,Khá tích cực
SV20210837,Trần Quân Bình,Kinh tế số,K66,2.8,68,Khá tích cực
SV20210838,Hồ Giang Lan,Kỹ thuật dữ liệu,K64,2.6,82,Khá tích cực
SV20210839,Nguyễn Hà Hương,Công nghệ thông tin,K65,2.9,104,Khá tích cực
SV20210840,Lê Long Minh,Kỹ thuật dữ liệu,K66,2.3,57,Cần cải thiện
SV20210841,Hoàng Lan Ngọc,Công nghệ thông tin,K64,1.7,42,Cần cải thiện
SV20210842,Lê Vy Linh,Kinh tế số,K65,2.0,55,Cần cải thiện
SV20210843,Bùi Minh Hải,Kỹ thuật dữ liệu,K66,2.6,58,Khá tích cực
SV20210844,Hoàng Chi Vy,Công nghệ thông tin,K64,3.6,124,Xuất sắc
SV20210845,Bùi Hà Hương,Kỹ thuật dữ liệu,K65,1.8,61,Cần cải thiện
SV20210846,Hoàng Hân Hân,Kỹ thuật dữ liệu,K66,1.3,37,Cần cải thiện
SV20210847,Đỗ Chi An,Công nghệ thông tin,K64,2.2,75,Cần cải thiện
SV20210848,Hồ Bình Giang,Kỹ thuật dữ liệu,K65,3.3,105,Khá
SV20210849,Hồ Giang Quân,Công nghệ thông tin,K66,2.3,37,Cần cải thiện
SV20210850,Đặng Dũng My,Công nghệ thông tin,K64,2.3,43,Cần cải thiện
SV20210851,Vũ Quân Ngọc,Công nghệ thông tin,K65,3.0,88,Khá tích cực
SV20210852,Đỗ Linh Phúc,Kinh tế số,K66,2.6,60,Khá tích cực
SV20210853,Nguyễn An Lan,Công nghệ thông tin,K64,2.9,76,Khá tích cực
SV20210854,Hoàng Chi Nam,Công nghệ thông tin,K65,2.4,42,Cần cải thiện
SV20210855,Nguyễn Linh An,Công nghệ thông tin,K66,2.3,57,Cần cải thiện
SV20210856,Phạm Trang Long,Kỹ thuật dữ liệu,K64,1.9,37,Cần cải thiện
SV20210857,Đỗ Vy Bình,Kỹ thuật dữ liệu,K65,2.4,100,Cần cải thiện
SV20210858,Lê Hân Khánh,Kỹ thuật dữ liệu,K66,3.1,69,Khá tích cực
SV20210859,Vũ Hải Ngọc,Kỹ thuật dữ liệu,K64,2.4,67,Cần cải thiện
SV20210860,Phạm Trang Hân,Kỹ thuật dữ liệu,K65,2.8,62,Khá tích cực
SV20210861,Hoàng My Quân,Công nghệ thông tin,K66,3.3,85,Khá
SV20210862,Lê Dũng Phúc,Kỹ thuật dữ liệu,K64,2.4,77,Cần cải thiện
SV20210863,Hồ Dũng Ngọc,Công nghệ thông tin,K65,1.9,51,Cần cải thiện
SV20210864,Vũ Hải Bình,Công nghệ thông tin,K66,2.3,52,Cần cải thiện
SV20210865,Phạm Nam Minh,Kinh tế số,K64,3.1,92,Khá tích cực
SV20210866,Đặng Lan Ngọc,Công nghệ thông tin,K65,3.0,114,Khá tích cực
SV20210867,Lê Bình My,Công nghệ thông tin,K66,2.5,83,Khá tích cực
SV20210868,Hoàng My Bình,Kỹ thuật dữ liệu,K64,2.6,99,Khá tích cực
SV20210869,Phạm Quân Phúc,Kinh tế số,K65,3.2,102,Khá
SV20210870,Trần Hà Long,Công nghệ thông tin,K66,2.2,38,Cần cải thiện
SV20210871,Đặng Phúc Linh,Công nghệ thông tin,K64,2.3,65,Cần cải thiện
SV20210872,Đỗ Nam Dũng,Công nghệ thông tin,K65,2.6,59,Khá tích cực
SV20210873,Hồ My Trang,Công nghệ thông tin,K66,2.2,59,Cần cải thiện
SV20210874,Đỗ Hương Minh,Công nghệ thông tin,K64,2.5,66,Khá tích cực
SV20210875,Lê Bình Khánh,Kinh tế số,K65,2.0,62,Cần cải thiện
SV20210876,Hoàng Long Phúc,Công nghệ thông tin,K66,3.8,82,Xuất sắc
SV20210877,Nguyễn Quân Giang,Công nghệ thông tin,K64,2.9,66,Khá tích cực
SV20210878,Hoàng An Nam,Kỹ thuật dữ liệu,K65,3.4,111,Khá
SV20210879,Nguyễn Phúc Hà,Kinh tế số,K66,3.2,101,Khá
SV20210880,Bùi Hà Giang,Công nghệ thông tin,K64,1.6,40,Cần cải thiện
SV20210881,Đặng Bình Nam,Kinh tế số,K65,3.2,72,Khá
SV20210882,Đặng Dũng Hà,Công nghệ thông tin,K66,3.2,106,Khá
SV20210883,Nguyễn Chi Khánh,Công nghệ thông tin,K64,2.8,86,Khá tích cực
SV20210884,Đỗ Nam Bình,Kinh tế số,K65,2.3,79,Cần cải thiện
SV20210885,Phạm Hải Ngọc,Công nghệ thông tin,K66,2.9,101,Khá tích cực
SV20210886,Đặng Khánh Long,Công nghệ thông tin,K64,1.4,28,Cần cải thiện
SV20210887,Đặng Nam Hân,Kỹ thuật dữ liệu,K65,2.1,87,Cần cải thiện
SV20210888,Bùi Chi Hân,Công nghệ thông tin,K66,3.3,119,Khá
SV20210889,Bùi An Lan,Công nghệ thông tin,K64,2.1,65,Cần cải thiện
SV20210890,Hồ Dũng Chi,Công nghệ thông tin,K65,3.1,87,Khá tích cực
SV20210891,Lê Vy An,Công nghệ thông tin,K66,2.1,67,Cần cải thiện
SV20210892,Trần Ngọc Hương,Kinh tế số,K64,2.4,53,Cần cải thiện
SV20210893,Đặng Bình Hải,Công nghệ thông tin,K65,3.3,98,Khá
SV20210894,Vũ Linh My,Công nghệ thông tin,K66,2.7,70,Khá tích cực
SV20210895,Bùi Giang Phúc,Công nghệ thông tin,K64,2.5,73,Khá tích cực
SV20210896,Nguyễn Hân Vy,Công nghệ thông tin,K65,3.0,98,Khá tích cực
SV20210897,Nguyễn Giang Giang,Kinh tế số,K66,2.0,46,Cần cải thiện
SV20210898,Phạm Chi Ngọc,Công nghệ thông tin,K64,1.8,34,Cần cải thiện
SV20210899,Vũ Bình Long,Kỹ thuật dữ liệu,K65,3.8,113,Xuất sắc
SV20210900,Đặng Bình Giang,Công nghệ thông tin,K66,2.0,56,Cần cải thiện
SV20210901,Đỗ Phúc Minh,Kinh tế số,K64,3.5,107,Khá
SV20210902,Đỗ Dũng Long,Kỹ thuật dữ liệu,K65,2.9,89,Khá tích cực
SV20210903,Bùi Hương Hải,Công nghệ thông tin,K66,2.1,85,Cần cải thiện
SV20210904,Trần Chi Linh,Kỹ thuật dữ liệu,K64,2.7,84,Khá tích cực
SV20210905,Đặng Khánh Phúc,Công nghệ thông tin,K65,2.0,64,Cần cải thiện
SV20210906,Đặng Hân My,Công nghệ thông tin,K66,3.6,97,Xuất sắc
SV20210907,Hồ Hương Trang,Công nghệ thông tin,K64,2.1,65,Cần cải thiện
SV20210908,Hồ Ngọc Giang,Công nghệ thông tin,K65,2.6,77,Khá tích cực
SV20210909,Vũ Giang Quân,Công nghệ thông tin,K66,3.1,76,Khá tích cực
SV20210910,Lê Minh Bình,Công nghệ thông tin,K64,2.3,47,Cần cải thiện
SV20210911,Hồ Phúc Nam,Công nghệ thông tin,K65,2.8,79,Khá tích cực
SV20210912,Đỗ Hân Nam,Kinh tế số,K66,2.0,56,Cần cải thiện
SV20210913,Trần Dũng Chi,Kỹ thuật dữ liệu,K64,3.4,77,Khá
SV20210914,Nguyễn Khánh Giang,Công nghệ thông tin,K65,2.0,62,Cần cải thiện
SV20210915,Lê Trang Lan,Công nghệ thông tin,K66,2.8,69,Khá tích cực
SV20210916,Hồ My Hải,Kỹ thuật dữ liệu,K64,2.8,82,Khá tích cực
SV20210917,Đặng Quân My,Kỹ thuật dữ liệu,K65,2.5,65,Khá tích cực
SV20210918,Vũ Minh My,Công nghệ thông tin,K66,3.0,86,Khá tích cực
SV20210919,Lê Giang Minh,Công nghệ thông tin,K64,2.5,58,Khá tích cực
SV20210920,Bùi An Quân,Công nghệ thông tin,K65,3.2,104,Khá
SV20210921,Bùi Quân My,Công nghệ thông tin,K66,2.6,81,Khá tích cực
SV20210922,Bùi Dũng My,Công nghệ thông tin,K64,2.5,106,Khá tích cực
SV20210923,Nguyễn Long Minh,Công nghệ thông tin,K65,2.0,55,Cần cải thiện
SV20210924,Vũ My Dũng,Công nghệ thông tin,K66,2.5,46,Khá tích cực
SV20210925,Lê Chi Nam,Công nghệ thông tin,K64,3.3,97,Khá
SV20210926,Trần Vy Ngọc,Kỹ thuật dữ liệu,K65,2.5,100,Khá tích cực
